item,name,lat,lon,image
http://www.wikidata.org/entity/Q55652567,Дом Гоголя,55.753952,37.599991,http://commons.wikimedia.org/wiki/Special:FilePath/Dom%20Gogolya%2C%20Nikitskiy%20blv%2C%20back%20view%20%28winter%2C%202013%29%20by%20shakko%2001.jpg
http://www.wikidata.org/entity/Q48953495,Музей Рерихов,55.746686111111,37.6033,http://commons.wikimedia.org/wiki/Special:FilePath/%22%D0%92%D0%92%D0%A6%20-%20%D0%BF%D0%B0%D0%B2%D0%B8%D0%BB%D1%8C%D0%BE%D0%BD%20%E2%84%96%2013%20%D0%97%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D1%8C%D0%B5%22.jpg
http://www.wikidata.org/entity/Q4306365,Музей кофе (Санкт-Петербург),59.949444444444,30.3625,http://commons.wikimedia.org/wiki/Special:FilePath/Muziy%20SPb%202010%203280.jpg
http://www.wikidata.org/entity/Q2025062,Зоологический музей Зоологического института РАН,59.9426,30.3056,http://commons.wikimedia.org/wiki/Special:FilePath/Hall%20in%20Museum%20of%20Zoology%20%28Saint%20Petersburg%290.jpg
http://www.wikidata.org/entity/Q21641933,Музей логистики,59.9222365,30.251293,http://commons.wikimedia.org/wiki/Special:FilePath/Kogevennaya%20line%283%29.jpg
http://www.wikidata.org/entity/Q4504319,Центральный музей железнодорожного транспорта Российской Федерации,59.9241,30.3141,http://commons.wikimedia.org/wiki/Special:FilePath/Muziy%20SPb%202010%203263.jpg
http://www.wikidata.org/entity/Q1617464,Музей сновидений Фрейда,59.95525833,30.29443611,
http://www.wikidata.org/entity/Q4146858,Государственный литературно-мемориальный музей М. М. Зощенко,59.937972222222,30.326119444444,http://commons.wikimedia.org/wiki/Special:FilePath/Malaya%20Konushennaya.jpg
http://www.wikidata.org/entity/Q975426,Меншиковский дворец,59.938888888889,30.295833333333,http://commons.wikimedia.org/wiki/Special:FilePath/Menshikov%20Palace%20in%20SPB.jpg
http://www.wikidata.org/entity/Q55651466,Выставочный зал «Домик Чехова»,55.771663,37.603965,http://commons.wikimedia.org/wiki/Special:FilePath/Musei%20Domik%20Chekhova%20vid%20s%20ylitsy.png
http://www.wikidata.org/entity/Q109750310,Музей истории евреев в России,55.794234,37.560511,
http://www.wikidata.org/entity/Q48689288,Артмуза,59.945555555556,30.265,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A2%D0%B2%D0%BE%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%BB%D0%B0%D1%81%D1%82%D0%B5%D1%80%20%D0%90%D1%80%D1%82%D0%BC%D1%83%D0%B7%D0%B0.jpg
http://www.wikidata.org/entity/Q65665918,Пушкинский краеведческий музей,56.006843,37.856196,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%BE%2C%20%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82%2C%2035%D0%B0.JPG
http://www.wikidata.org/entity/Q4306426,Музей политической полиции России,59.936361111111,30.310722222222,http://commons.wikimedia.org/wiki/Special:FilePath/Goeohovaia%202010%203149.jpg
http://www.wikidata.org/entity/Q4407728,Санкт-Петербургский музей кукол,59.9472,30.2595,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20of%20dolls.jpg
http://www.wikidata.org/entity/Q54996579,Дом-музей А. П. Чехова (Москва),55.760161111111,37.586022222222,http://commons.wikimedia.org/wiki/Special:FilePath/Chekhov%20museum%20Moscow%20vid%20s%20Sadovoi.jpg
http://www.wikidata.org/entity/Q4313372,Народный музей «А музы не молчали…» (Санкт-Петербург),59.9264,30.2807,http://commons.wikimedia.org/wiki/Special:FilePath/Muziy%20SPb%202010%203256.jpg
http://www.wikidata.org/entity/Q15097244,Музей политической истории России,59.954527777778,30.325138888889,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9E%D1%81%D0%BE%D0%B1%D0%BD%D1%8F%D0%BA%20%D0%92.%D0%AD.%D0%91%D1%80%D0%B0%D0%BD%D1%82%D0%B0.JPG
http://www.wikidata.org/entity/Q1058832,Российский этнографический музей,59.93805556,30.33444444,http://commons.wikimedia.org/wiki/Special:FilePath/Sankt-Pet%C4%9Brburg%20119.jpg
http://www.wikidata.org/entity/Q53672893,Музей охоты и рыболовства (Москва),55.839722222222,37.488611111111,
http://www.wikidata.org/entity/Q12130484,Музей-усадьба Державина,59.918875,30.309894,http://commons.wikimedia.org/wiki/Special:FilePath/Derzhavin%20Museum%2001.JPG
http://www.wikidata.org/entity/Q12130484,Музей-усадьба Державина,59.918875,30.309894,http://commons.wikimedia.org/wiki/Special:FilePath/Usadba%20derzhavina.jpg
http://www.wikidata.org/entity/Q4146886,Государственный музей истории Санкт-Петербурга,59.9485,30.3236,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D0%BE%D0%BC%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D0%BD%D1%82%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B4%D0%BE%D0%BC.jpg
